id,edited,likeCount,collectionCount,shareCount,wordCount,lfFreq,emojiPerWord,withImages,withVideos,imageCount,videoCount,imageTextRatio,videoTextRatio,mediaTextRatio,linkPerWord,utmLinkRatio,authorUseNickname,authorSuspicious,authorHasCreatorBadge,authorHasOfficialCreatorBadge,postCount,timeDiffDays,postFreq,maxPostsPerDay,maxPostsPer12h,postIntervalStd,businessHourRatio,weekendRatio,travelPostRatio,forumVariety,forumEvenness,avgLikes,commentCount,totalCommentCount,subcomDepth,authorReplyRatio,authorReplyLinkRatio,authorReplyUTMLinkRatio,firstCommentTimeDiff,first30MinCommentRatio
261411836,0,1,0,0,405,0.05432098765432099,0.014814814814814815,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,8,1113.8835532407406,0.00718207929071647,1,1,337.34502245716516,0.0,0.625,0.25,1.584962500721156,0.8112781244591328,5.5,1,1,0.0,0.0,0,0,320.149,0.0
261411471,0,2,0,0,94,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,3,115.91482638888888,0.025881072279184878,1,1,32.57472070896189,0.3333333333333333,0.6666666666666666,1.0,1.0,0,3.3333333333333335,0,0,0,0,0,0,1469149.5069666666,0
261411397,0,0,0,0,82,0.012195121951219513,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,31,1639.458287037037,0.018908684804677608,3,2,265.99725051597557,0.0967741935483871,0.0967741935483871,0.03225806451612903,2.321928094887362,0.4292542814219559,20.548387096774192,0,0,0,0,0,0,1469149.5069666666,0
261411228,0,0,0,0,445,0.0449438202247191,0.0,1,0,1,0,2.247191011235955,0.0,2.247191011235955,0.0,0,1,0,0,0,16,461.11758101851854,0.03469830832443892,1,1,38.57758055648717,0.0625,0.25,0.0625,3.321928094887362,0.9166270687500505,3.6875,4,5,0.2,0.4,0.0,0,430.42105,0.0
261410231,0,1,0,0,155,0.012903225806451613,0.0,1,0,1,0,6.451612903225806,0.0,6.451612903225806,0.0,0,1,0,0,0,3,1736.9886689814814,0.0017271269833666278,1,1,1226.4743581290802,0.0,1.0,0.3333333333333333,2.0,1.0,13.0,2,2,0.0,0.0,0,0,126.33813333333333,0.0
261408211,0,0,0,1,167,0.041916167664670656,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,3,924.0496064814815,0.003246578948746213,1,1,590.0421014853235,0.0,0.6666666666666666,1.0,1.0,0,0.3333333333333333,0,0,0,0,0,0,1469149.5069666666,0
261406235,0,0,1,0,124,0.07258064516129033,0.0,1,0,1,0,8.064516129032258,0.0,8.064516129032258,0.0,0,1,0,0,0,4,648.5403587962963,0.0061676963441783,1,1,186.91557605289822,0.0,0.5,0.25,2.321928094887362,1.0,58.5,0,0,0,0,0,0,1469149.5069666666,0
261406109,0,1,0,0,753,0.05046480743691899,0.01593625498007968,1,1,5,1,6.6401062416998675,1.3280212483399734,7.968127490039841,0.0,0,1,0,0,0,1,0.0,1,1,1,0,0.0,1.0,1.0,1.0,0,1.0,0,0,0,0,0,0,1469149.5069666666,0
261405819,0,0,1,0,68,0.07352941176470588,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,0,8,1522.258113425926,0.005255350541042976,1,1,210.94743416752559,0.25,0.5,0.25,2.584962500721156,0.9283832117695864,12.625,1,1,0.0,0.0,0,0,55.398183333333336,0.0
261405381,1,1,3,1,528,0.02462121212121212,0.003787878787878788,1,0,5,0,9.46969696969697,0.0,9.46969696969697,0.0,0,1,0,0,0,1,0.0,1,1,1,0,0.0,1.0,1.0,1.0,0,1.0,1,3,0.6666666666666666,0.6666666666666666,0.0,0,880.4646833333334,0.0
