file_name,text_length,chunks_count,expected_sentiment_value,sentiment_volatility
1205.txt,245,1,4.6182,0.0
1206.txt,98,1,1.4269,0.0
1207.txt,452,2,4.0893,0.0936
1208.txt,1836,5,3.6379,0.6096
1209.txt,9240,24,2.6021,0.5208
121.txt,146,1,3.2127,0.0
1210.txt,700,2,3.105,0.7654
1211.txt,212,1,3.6999,0.0
1212.txt,4312,11,3.1105,0.5593
1213.txt,136,1,3.0281,0.0
1214.txt,165,1,3.0122,0.0
1215.txt,2225,6,2.5423,0.5925
1216.txt,64,1,3.0072,0.0
1217.txt,67,1,2.9945,0.0
1218.txt,136,1,3.0119,0.0
1219.txt,456,2,3.4178,0.3725
122.txt,66,1,3.113,0.0
1220.txt,268,1,4.5023,0.0
1221.txt,868,3,3.3101,0.4341
1222.txt,129,1,3.2314,0.0
1223.txt,250,1,3.1204,0.0
1224.txt,1657,5,3.1313,0.2786
1225.txt,1451,4,3.7299,0.4114
1226.txt,53,1,2.8393,0.0
1227.txt,430,2,3.5258,0.5239
1228.txt,173,1,2.9749,0.0
1229.txt,346,1,3.0218,0.0
123.txt,99,1,2.5918,0.0
1230.txt,2482,7,3.9623,0.6311
1231.txt,298,1,3.1718,0.0
1232.txt,189,1,4.4432,0.0
1233.txt,2797,7,3.5047,0.8327
1234.txt,856,3,2.2697,0.177
1235.txt,180,1,2.3857,0.0
1236.txt,1995,5,2.4777,0.8794
1237.txt,228,1,3.2495,0.0
1238.txt,1630,5,2.9907,0.2993
1239.txt,1392,4,3.0091,0.0035
124.txt,627,2,2.9141,0.832
1240.txt,646,2,3.9646,0.0852
1241.txt,77,1,2.672,0.0
1242.txt,146,1,3.0229,0.0
1243.txt,422,2,3.0139,0.0092
1244.txt,841,3,3.6822,0.4638
1245.txt,89,1,2.1963,0.0
1246.txt,2773,7,3.1891,0.3658
1247.txt,109,1,2.5415,0.0
1248.txt,38,1,2.8579,0.0
1249.txt,879,3,2.0734,0.5645
125.txt,588,2,2.8821,0.0034
1250.txt,1521,4,3.6305,0.3394
1251.txt,217,1,3.521,0.0
1252.txt,147,1,2.1427,0.0
1253.txt,1719,5,3.1624,0.2629
1254.txt,913,3,2.7632,0.3611
1255.txt,92,1,2.9365,0.0
1256.txt,2609,7,2.448,0.5833
1257.txt,2764,7,3.1553,0.2435
1258.txt,2738,7,2.5303,0.5817
1259.txt,2435,7,3.1073,0.2939
126.txt,487,2,3.1862,0.7738
1260.txt,223,1,2.7885,0.0
1261.txt,261,1,2.8141,0.0
1262.txt,777,2,3.0791,0.0187
1263.txt,110,1,2.8258,0.0
1264.txt,105,1,2.8864,0.0
1265.txt,108,1,3.0022,0.0
1266.txt,102,1,2.7337,0.0
1267.txt,82,1,2.9065,0.0
1268.txt,1345,4,2.3552,0.2847
1269.txt,201,1,2.7022,0.0
127.txt,75,1,3.0087,0.0
1270.txt,108,1,3.017,0.0
1271.txt,617,2,3.1012,0.0788
1272.txt,97,1,3.032,0.0
1273.txt,412,2,3.101,0.1157
1274.txt,1252,4,3.0836,0.0658
1275.txt,572,2,3.5635,0.0795
